illusion_strength,pse,sigma,pse_se,sigma_se,fit_success,note
-49,-0.0,0.0094,0.0006,0.0001,True,
-42,-0.0,0.0094,0.0006,0.0001,True,
-35,-0.0,0.0094,0.0006,0.0001,True,
-28,-0.0,0.0094,0.0006,0.0001,True,
-21,-0.0,0.0094,0.0006,0.0001,True,
-14,0.0528,0.003,0.0002,0.0,True,
-7,-0.0,0.0094,0.0006,0.0001,True,
0,-0.0,0.0094,0.0006,0.0001,True,
7,0.0,0.2047,0.0713,0.1155,True,
14,-0.0719,0.3348,0.1174,0.2161,True,
21,0.2382,0.0083,31.4201,7.4123,True,
28,0.1626,0.4122,0.1575,0.301,True,
35,0.2382,0.0085,23.0001,5.5287,True,
42,0.3161,0.0106,24.458,6.0583,True,
49,0.6637,0.6942,0.6996,0.856,True,
